Price,Date,Close,High,Low,Open,Volume
Ticker,,AAPL,AAPL,AAPL,AAPL,AAPL
0,2000-01-03,0.8377240896224976,0.8419335299536952,0.7610144636610653,0.7848694243681987,535796800
1,2000-01-04,0.7670955657958984,0.8279013355036092,0.757272805535923,0.8101274711776825,512377600
2,2000-01-05,0.7783204317092896,0.8274334225944382,0.7708370560254811,0.7764495752983087,778321600
3,2000-01-06,0.7109660506248474,0.8007724789728964,0.7109660506248474,0.7942245047027412,767972800
4,2000-01-07,0.7446436882019043,0.7558696278497519,0.7147085319293209,0.7221919088264547,460734400
5,2000-01-10,0.7315472960472107,0.7652241820562502,0.7090955057996177,0.7633533244359846,505064000
6,2000-01-11,0.69412761926651,0.7437083490660181,0.6772892079414708,0.7179825807083686,441548800
7,2000-01-12,0.6524989604949951,0.71470872231691,0.6473532663278413,0.7109661585692337,976068800
8,2000-01-13,0.7240628600120544,0.7390304661140493,0.6922568406806966,0.7071070904310869,1032684800
9,2000-01-14,0.7516596913337708,0.7652241199112005,0.7437085845634742,0.7483857032542285,390376000
10,2000-01-18,0.7778530716896057,0.7932892046168153,0.7516595724707817,0.7558698129610633,459177600
11,2000-01-19,0.7974985837936401,0.8138693207187155,0.7736436189290025,0.7904820826301999,597643200
12,2000-01-20,0.849418044090271,0.9092883802272557,0.849418044090271,0.864385603144446,1831132800
13,2000-01-21,0.833047091960907,0.8550303996386953,0.8246274606898092,0.8550303996386953,495924800
14,2000-01-24,0.7951599359512329,0.8438043630233935,0.7867402556652854,0.81153062057158,440876800
15,2000-01-25,0.8400624394416809,0.8466113111755815,0.7661599392132898,0.7858046559306395,497145600
16,2000-01-26,0.8246272802352905,0.8545624858717608,0.8213533435006031,0.8232241502175326,367158400
17,2000-01-27,0.8232244849205017,0.8456763229372577,0.8007726968638877,0.8143371252192084,340144000
18,2000-01-28,0.7605468034744263,0.8297722588143897,0.753063425506964,0.809659859307201,423348800
19,2000-01-31,0.7764499187469482,0.7773853723462769,0.7072245038715651,0.7558698396414428,701680000
20,2000-02-01,0.7502564191818237,0.7858050049074052,0.7483856119019977,0.7783207765853667,318035200
21,2000-02-02,0.7394980192184448,0.7642883811002804,0.7259335466274093,0.7539987444755579,464195200
22,2000-02-03,0.7731758952140808,0.7801923959519176,0.7502563353317967,0.7507240620795476,475193600
23,2000-02-04,0.8082566857337952,0.8232242402284533,0.7755143671597118,0.7778529507517558,425320000
24,2000-02-07,0.8536272644996643,0.8550304448588143,0.7928214833063131,0.8082568169779102,441067200
25,2000-02-08,0.8597085475921631,0.8690626851122804,0.832579590346212,0.8531596721092755,408643200
26,2000-02-09,0.842868983745575,0.876546708649185,0.8414659034150073,0.8540949253535326,299364800
27,2000-02-10,0.849418044090271,0.8522243052874838,0.8232244910045393,0.844740875481393,302982400
28,2000-02-11,0.8138691782951355,0.8540948230854009,0.8101274646612114,0.8503531094514768,212251200
29,2000-02-14,0.8667240738868713,0.8671918007054649,0.8129339409843092,0.8180787861084226,367539200
30,2000-02-15,0.8905786871910095,0.8975951862047128,0.8620466631474193,0.8625143897802378,485744000
31,2000-02-16,0.854094922542572,0.8840309332657064,0.8391273668221861,0.8812238733314441,378246400
32,2000-02-17,0.8597085475921631,0.8643856163522218,0.8466117958292506,0.8620470819721924,289497600
33,2000-02-18,0.8325793147087097,0.8634498767744443,0.8297722050755184,0.857837356152366,233441600
34,2000-02-22,0.8517563343048096,0.8751435695299542,0.7984338896310373,0.8241597084903379,422296000
35,2000-02-23,0.8699978590011597,0.8905788334270135,0.8307076163499678,0.8474295706407518,473099200
36,2000-02-24,0.8621633648872375,0.8915143418289724,0.8363210379258275,0.8779498667323872,376432000
37,2000-02-25,0.8260304927825928,0.8756112722256,0.8241596858787491,0.8592405377539902,249144000
38,2000-02-28,0.8475471138954163,0.8606438651061529,0.8110631713451244,0.824159922555861,328328000
39,2000-02-29,0.857837438583374,0.8774821619306202,0.8424013567052027,0.849885484309077,368961600
40,2000-03-01,0.9752397537231445,0.9883365037929948,0.8868372902732962,0.8873050170728947,1077003200
41,2000-03-02,0.9130306839942932,0.9574658238999956,0.9032079227462553,0.9504501225642836,311259200
42,2000-03-03,0.9579334855079651,0.9596878855268396,0.8980631610000938,0.9345462481222873,323366400
43,2000-03-06,0.9406275749206543,0.9663533511042698,0.9354818801143954,0.9429661092568553,210560000
44,2000-03-07,0.9195788502693176,0.9537243086615468,0.906482098995973,0.946240079658586,273011200
45,2000-03-08,0.9130306839942932,0.927530612772893,0.8873049136526702,0.9195786585849227,271230400
46,2000-03-09,0.9149015545845032,0.9354816304698178,0.8849663446480707,0.9046110670006859,276718400
47,2000-03-10,0.9410951137542725,0.9574658500398793,0.9055464812738324,0.9106921750520535,248606400
48,2000-03-13,0.9078850150108337,0.9467075306773239,0.8943205408469281,0.9139660617143402,303956800
49,2000-03-14,0.8550305962562561,0.9298693933358124,0.8531596887794474,0.907183690936768,428579200
50,2000-03-15,0.8699978590011597,0.899933867220699,0.8540948511132921,0.8653207917454605,443609600
51,2000-03-16,0.9097557663917542,0.9130305525778083,0.8569010530808712,0.8779497527825627,378100800
52,2000-03-17,0.9354814887046814,0.9354814887046814,0.8952557972803307,0.8989984098870565,305043200
53,2000-03-20,0.9205142855644226,0.9448368802548782,0.9158371171523548,0.924256799672265,204489600
54,2000-03-21,1.0098531246185303,1.0234175041042275,0.9102246997465612,0.917240403211919,524328000
55,2000-03-22,1.079078197479248,1.080482177105953,0.9845946951494222,0.993715916430738,567996800
56,2000-03-23,1.0575625896453857,1.1253848626355638,1.0477398289088522,1.0627073837328613,562564800
57,2000-03-24,1.037917137145996,1.0772073833410696,1.0140621735213933,1.0659814416963493,446913600
58,2000-03-27,1.0444658994674683,1.083288418474902,1.0243526501628666,1.0299660705633933,279182400
59,2000-03-28,1.0411916971206665,1.062707222938902,1.026223245279165,1.027158698579078,202966400
